Type,Latitude,Longitude
Schools,-27.535509,153.073762
Schools,-27.357017,153.024677
Schools,-27.545803,151.964926
Schools,-24.885223,152.360143
Schools,-26.779943,151.112705
Schools,-17.021342,145.735793
Schools,-27.083142,153.161765
Schools,-28.212115,153.004805
Schools,-24.877583,152.349882
Schools,-21.09565,149.180445
Schools,-28.738893,151.872823
Schools,-21.059717,149.161295
Schools,-21.422182,149.217652
Schools,-19.32434,146.812551
Schools,-21.152436,149.176746
Schools,-23.134711,150.734265
Schools,-27.467157,152.998882
Schools,-23.665005,150.044619
Schools,-16.905327,145.86457
Schools,-27.673812,153.142893
Schools,-19.304468,146.812476
Schools,-26.17376,152.662167
Schools,-28.017066,153.162275
Schools,-25.230748,152.279749
Schools,-26.855853,152.93987
Schools,-27.588666,152.747584
Schools,-24.735825,152.160379
Schools,-23.33703,150.51405
Schools,-27.606674,152.776741
Schools,-20.734049,143.142829
Schools,-25.925181,152.994883
Schools,-25.952449,152.54075
Schools,-25.372071,151.119315
Schools,-27.92052,152.705391
Schools,-15.557595,144.446956
Schools,-27.593297,153.017909
Schools,-27.500236,152.965934
Schools,-20.288688,148.675185
Schools,-23.909442,151.267055
Schools,-20.27508,148.699956
Schools,-27.606243,152.976601
Schools,-25.136508,151.127706
Schools,-26.694029,152.946716
Schools,-27.335734,152.956199
Schools,-27.857825,153.3058
Schools,-22.907947,139.910677
Schools,-27.497392,153.228537
Schools,-27.57002,153.234224
Schools,-19.65471,147.34833
Schools,-26.686142,153.00532
Schools,-27.157586,152.959156
Schools,-26.340808,152.824042
Schools,-24.545409,152.017059
Schools,-27.829988,153.026801
Schools,-27.24863,152.992667
Schools,-22.636168,149.252576
Schools,-27.545953,153.123468
Schools,-27.369143,153.01514
Schools,-19.17499,146.555858
Schools,-27.658074,152.258801
Schools,-27.506387,153.049571
Schools,-19.597981,146.834615
Schools,-27.230342,153.086574
Schools,-24.134138,149.455991
Schools,-24.844233,152.300841
Schools,-27.812667,152.667117
Schools,-25.525252,152.678541
Schools,-18.647356,146.201779
Schools,-17.223308,145.477467
Schools,-27.549865,153.094787
Schools,-24.870882,152.360602
Schools,-26.589638,151.902784
Schools,-16.925085,145.763093
Schools,-28.172123,152.713641
Schools,-27.626226,153.106486
Schools,-26.229307,152.667238
Schools,-16.991617,145.424917
Schools,-21.161163,148.862226
Schools,-27.533849,153.09469
Schools,-28.166037,153.381548
Schools,-28.074373,153.352845
Schools,-25.510919,152.047915
Schools,-26.203516,152.443281
Schools,-23.327816,150.786144
Schools,-27.195062,151.270169
Schools,-26.843489,152.882481
Schools,-24.945509,150.074822
Schools,-21.260228,149.145234
Schools,-26.946139,152.561908
Schools,-28.1245,153.186052
Schools,-26.726617,152.957964
Schools,-26.99878,152.795521
Schools,-27.931617,151.904066
Schools,-27.08049,152.771001
Schools,-27.39731,153.018265
Schools,-27.710812,152.977376
Schools,-27.590541,152.354154
Schools,-26.473408,152.952084
Schools,-26.306551,152.011508
Schools,-24.822378,152.438979
Schools,-27.64143,153.104249
Schools,-27.525609,153.058583
Schools,-23.724013,148.140711
Schools,-27.479123,152.42657
Schools,-23.441088,144.245248
Schools,-23.48907,144.504252
Schools,-19.918087,138.120771
Schools,-27.603784,152.864547
Schools,-26.368637,152.861137
Schools,-27.597696,152.967265
Schools,-17.566671,146.011453
Schools,-27.417827,153.050573
Schools,-21.229918,148.956467
Schools,-20.062074,146.264788
Schools,-27.532532,151.192386
Schools,-23.936398,151.220014
Schools,-27.396481,152.783746
Schools,-28.003163,153.291104
Schools,-26.890251,152.103592
Schools,-23.860171,151.25213
Schools,-27.566621,151.900866
Schools,-21.121711,149.183918
Schools,-24.98733,152.14915
Schools,-28.079382,150.739386
Schools,-16.814588,145.723014
Schools,-16.852773,145.745234
Schools,-24.623021,151.916042
Schools,-17.128243,145.426989
Schools,-23.383376,150.487825
Schools,-28.201006,152.029107
Schools,-17.513104,145.609825
Schools,-27.324795,153.042047
Schools,-21.327491,149.210635
Schools,-28.205836,153.395168
Schools,-26.688804,152.893329
Schools,-20.707895,139.489932
Schools,-20.408847,148.582792
Schools,-26.939417,151.45207
Schools,-27.496293,153.404196
Schools,-28.148544,153.226939
Schools,-22.408292,147.546692
Schools,-17.261279,145.48158
Schools,-17.09027,145.784943
Schools,-24.329414,151.561153
Schools,-19.600678,147.460083
Schools,-19.296493,146.762543
Schools,-27.244637,145.976978
Schools,-28.536597,151.936175
Schools,-20.020574,148.163798
Schools,-17.5229,146.00969
Schools,-17.880625,145.965328
Schools,-25.253741,148.820097
Schools,-27.303779,151.494404
Schools,-25.841793,152.546923
Schools,-23.861382,151.270142
Schools,-27.615516,153.003114
Schools,-23.396024,150.517792
Schools,-20.745132,139.490802
Schools,-27.659831,151.897226
Schools,-17.499483,146.074862
Schools,-27.606253,151.832944
Schools,-27.554545,151.850655
Schools,-26.797078,153.13473
Schools,-26.362943,151.819431
Schools,-17.155522,144.520721
Schools,-20.058436,147.280492
Schools,-18.209454,145.941815
Schools,-27.921683,153.017625
Schools,-17.110283,145.831907
Schools,-26.239715,151.943034
Schools,-19.279922,146.796378
Schools,-27.486409,153.039555
Schools,-26.625494,152.865944
Schools,-24.406962,151.320757
Schools,-26.149642,152.817485
Schools,-27.468787,153.186319
Schools,-26.644829,149.981092
Schools,-26.322155,152.676725
Schools,-27.496624,153.043333
Schools,-21.998321,148.047619
Schools,-24.243826,151.491046
Schools,-26.974111,152.357065
Schools,-23.652434,150.647054
Schools,-19.562731,147.41689
Schools,-24.830575,143.0623
Schools,-18.769014,146.134857
Schools,-27.930414,153.199809
Schools,-26.142399,152.615088
Schools,-27.24673,149.675102
Schools,-23.910218,150.193657
Schools,-23.295438,150.514138
Schools,-27.508478,152.938736
Schools,-28.66101,151.828081
Schools,-27.47459,153.062918
Schools,-16.852454,145.695133
Schools,-24.571896,149.979127
Schools,-24.350474,143.287187
Schools,-26.958305,148.061318
Schools,-25.145565,152.384934
Schools,-23.341863,150.5441
Schools,-27.460534,153.045151
Schools,-17.68053,145.121401
Schools,-25.28763,152.864813
Schools,-26.408877,151.812504
Schools,-19.286591,146.764406
Schools,-25.38385,152.045919
Schools,-26.613632,153.032101
Schools,-27.013163,152.942353
Schools,-28.971085,147.790929
Schools,-17.585007,146.044328
Schools,-27.107474,151.621881
Schools,-27.596866,152.982397
Schools,-24.949819,152.061042
Schools,-20.709434,139.510459
Schools,-25.812096,152.623022
Schools,-26.841066,151.976209
Schools,-27.587897,153.061454
Schools,-27.640932,152.782463
Schools,-27.789704,151.906644
Schools,-27.540207,151.954701
Schools,-26.846246,152.27827
Schools,-20.703361,148.595064
Schools,-23.359524,150.50739
Schools,-26.292954,151.954613
Schools,-17.139679,145.212413
Schools,-26.540655,151.833187
Schools,-16.915955,145.420578
Schools,-28.577,148.229799
Schools,-17.272814,145.58624
Schools,-27.361902,153.024038
Schools,-27.938802,152.983054
Schools,-28.702449,151.908606
Schools,-17.937606,145.922026
Schools,-27.521864,152.357904
Schools,-17.995679,146.000918
Schools,-27.401304,153.003952
Schools,-23.17625,150.459189
Schools,-24.360468,139.471388
Schools,-16.249489,145.32014
Schools,-27.549192,152.981661
Schools,-27.478497,153.075056
Schools,-23.076401,150.737383
Schools,-18.090124,145.850295
Schools,-25.59932,152.261265
Schools,-27.573805,151.569607
Schools,-27.459895,152.972264
Schools,-27.607707,152.93388
Schools,-26.064214,148.603001
Schools,-27.574032,152.202255
Schools,-25.978032,149.802088
Schools,-20.05917,148.88188
Schools,-27.493318,152.460169
Schools,-26.320453,151.882552
Schools,-24.892511,152.293519
Schools,-20.722394,139.491715
Schools,-27.09168,152.37942
Schools,-28.655513,151.87844
Schools,-27.038235,150.757739
Schools,-26.984266,151.832862
Schools,-27.52971,152.407828
Schools,-27.48407,153.092439
Schools,-26.555802,151.838437
Schools,-23.846236,151.125425
Schools,-16.674458,145.335331
Schools,-27.455338,152.489823
Schools,-27.347869,153.039856
